id,area_name,Households,00_10K,10_15K,15_25K,25_35K,35_50K,50_75K,75_100K,100_150K,150_200K,200K_UP,with_internet,dialup_internet,any_broadband,with_cellular_broadband,only_cellular_broadband,cable_broadband,satellite_broadband,no_internet,Population,Hispanic_Latino,Black,White,Asian
1400000US48113015500,"Census Tract 155, Dallas County, Texas",1185,0.04,0.008,0.055999999999999994,0.172,0.155,0.244,0.17800000000000002,0.11599999999999999,0.012,0.019,0.73,0.0,0.73,0.441,0.071,0.618,0.062,0.27,3756,0.565,0.126,0.268,0.02
1400000US48113015600,"Census Tract 156, Dallas County, Texas",1481,0.038,0.044000000000000004,0.114,0.228,0.198,0.23,0.079,0.045,0.025,0.0,0.583,0.003,0.58,0.375,0.14400000000000002,0.389,0.061,0.41700000000000004,5719,0.871,0.04,0.068,0.017
1400000US48113015700,"Census Tract 157, Dallas County, Texas",729,0.048,0.081,0.086,0.156,0.16,0.215,0.102,0.11800000000000001,0.015,0.018000000000000002,0.701,0.0,0.701,0.39399999999999996,0.08,0.586,0.092,0.299,2994,0.85,0.002,0.091,0.051
1400000US48113015800,"Census Tract 158, Dallas County, Texas",611,0.055999999999999994,0.021,0.128,0.095,0.24100000000000002,0.3,0.131,0.028999999999999998,0.0,0.0,0.568,0.0,0.568,0.426,0.17,0.38,0.057,0.43200000000000005,2195,0.812,0.0,0.185,0.0
1400000US48113015900,"Census Tract 159, Dallas County, Texas",1284,0.095,0.068,0.21100000000000002,0.195,0.171,0.13,0.066,0.059000000000000004,0.005,0.0,0.643,0.0,0.643,0.466,0.168,0.445,0.046,0.35700000000000004,3735,0.6659999999999999,0.11800000000000001,0.184,0.024
1400000US48113016001,"Census Tract 160.01, Dallas County, Texas",1379,0.049,0.077,0.215,0.134,0.18899999999999997,0.162,0.102,0.063,0.0,0.009000000000000001,0.532,0.0,0.532,0.379,0.134,0.384,0.04,0.46799999999999997,5324,0.778,0.047,0.162,0.0
1400000US48113016002,"Census Tract 160.02, Dallas County, Texas",917,0.11199999999999999,0.047,0.1,0.23,0.141,0.18,0.099,0.07200000000000001,0.019,0.0,0.501,0.0,0.501,0.371,0.106,0.374,0.051,0.499,3177,0.685,0.079,0.218,0.009000000000000001
1400000US48113016100,"Census Tract 161, Dallas County, Texas",1505,0.052000000000000005,0.115,0.146,0.131,0.191,0.171,0.10099999999999999,0.081,0.005,0.006999999999999999,0.584,0.005,0.579,0.474,0.17800000000000002,0.389,0.040999999999999995,0.41600000000000004,3586,0.488,0.284,0.20199999999999999,0.0
1400000US48113016201,"Census Tract 162.01, Dallas County, Texas",1238,0.022000000000000002,0.027999999999999997,0.075,0.12,0.203,0.18600000000000003,0.23199999999999998,0.132,0.003,0.0,0.7190000000000001,0.016,0.703,0.46299999999999997,0.087,0.601,0.065,0.281,4190,0.5670000000000001,0.179,0.215,0.013000000000000001
1400000US48113016202,"Census Tract 162.02, Dallas County, Texas",2050,0.07400000000000001,0.059000000000000004,0.114,0.16,0.21,0.245,0.064,0.047,0.026000000000000002,0.0,0.532,0.0,0.532,0.252,0.08,0.426,0.034,0.46799999999999997,6569,0.6559999999999999,0.113,0.215,0.009000000000000001
1400000US48113016301,"Census Tract 163.01, Dallas County, Texas",1939,0.055,0.01,0.067,0.126,0.126,0.182,0.183,0.187,0.036000000000000004,0.03,0.785,0.01,0.775,0.568,0.15,0.614,0.10800000000000001,0.215,7302,0.7070000000000001,0.122,0.087,0.08
1400000US48113016302,"Census Tract 163.02, Dallas County, Texas",577,0.049,0.057,0.14400000000000002,0.107,0.166,0.243,0.12300000000000001,0.073,0.038,0.0,0.574,0.0,0.574,0.43700000000000006,0.165,0.409,0.017,0.426,2161,0.767,0.046,0.127,0.047
1400000US48113016401,"Census Tract 164.01, Dallas County, Texas",3265,0.023,0.036000000000000004,0.043,0.094,0.098,0.228,0.20199999999999999,0.21600000000000003,0.055,0.006999999999999999,0.895,0.005,0.89,0.7190000000000001,0.095,0.748,0.09,0.105,11059,0.401,0.276,0.185,0.10400000000000001
1400000US48113016406,"Census Tract 164.06, Dallas County, Texas",1637,0.081,0.055999999999999994,0.11699999999999999,0.11699999999999999,0.134,0.268,0.131,0.068,0.028999999999999998,0.0,0.731,0.006999999999999999,0.723,0.5379999999999999,0.188,0.48200000000000004,0.10300000000000001,0.26899999999999996,5466,0.66,0.124,0.162,0.038
1400000US48113016407,"Census Tract 164.07, Dallas County, Texas",2284,0.073,0.013999999999999999,0.07,0.12,0.129,0.305,0.126,0.14,0.006999999999999999,0.013999999999999999,0.6779999999999999,0.027999999999999997,0.65,0.408,0.046,0.596,0.052000000000000005,0.322,7990,0.632,0.21,0.135,0.011000000000000001
1400000US48113016408,"Census Tract 164.08, Dallas County, Texas",2392,0.037000000000000005,0.009000000000000001,0.046,0.166,0.113,0.22699999999999998,0.16699999999999998,0.163,0.027999999999999997,0.046,0.878,0.011000000000000001,0.867,0.72,0.171,0.677,0.128,0.122,7696,0.5670000000000001,0.18,0.195,0.044000000000000004
1400000US48113016409,"Census Tract 164.09, Dallas County, Texas",1158,0.009000000000000001,0.046,0.02,0.055,0.07,0.145,0.187,0.244,0.11599999999999999,0.109,0.9329999999999999,0.012,0.9209999999999999,0.705,0.06,0.821,0.136,0.067,3533,0.39399999999999996,0.168,0.322,0.109
1400000US48113016410,"Census Tract 164.10, Dallas County, Texas",1531,0.062,0.031,0.022000000000000002,0.033,0.07400000000000001,0.172,0.153,0.275,0.102,0.076,0.965,0.0,0.965,0.7559999999999999,0.193,0.754,0.11599999999999999,0.035,5066,0.3,0.257,0.336,0.079
1400000US48113016411,"Census Tract 164.11, Dallas County, Texas",2848,0.026000000000000002,0.017,0.066,0.057,0.149,0.168,0.138,0.282,0.09300000000000001,0.004,0.9109999999999999,0.008,0.903,0.674,0.155,0.691,0.09699999999999999,0.08900000000000001,8687,0.395,0.22,0.25,0.10099999999999999
1400000US48113016412,"Census Tract 164.12, Dallas County, Texas",1618,0.004,0.008,0.017,0.054000000000000006,0.09300000000000001,0.1,0.14300000000000002,0.325,0.175,0.08,0.914,0.006,0.9079999999999999,0.778,0.064,0.7879999999999999,0.133,0.086,5062,0.19899999999999998,0.265,0.29600000000000004,0.175
